,Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
74,US,North Dakota,48.77245354,-99.84097493,144.0,0.0,3.0,2020-09-16
75,US,North Dakota,46.10830372,-97.63217159,36.0,0.0,0.0,2020-09-16
76,US,North Dakota,47.57700669,-100.3426391,9.0,0.0,0.0,2020-09-16
77,US,North Dakota,46.11323337,-101.04401490000001,138.0,0.0,3.0,2020-09-16
78,US,North Dakota,46.44737738,-103.4601547,7.0,0.0,0.0,2020-09-16
79,US,North Dakota,46.80851182,-102.65763259999999,1129.0,0.0,6.0,2020-09-16
80,US,North Dakota,47.45611548,-97.72728747,26.0,0.0,0.0,2020-09-16
81,US,North Dakota,46.97962541,-98.95637318,467.0,0.0,3.0,2020-09-16
82,US,North Dakota,48.68565745,-99.24564265,11.0,0.0,0.0,2020-09-16
83,US,North Dakota,47.45367788,-97.16323288,88.0,0.0,0.0,2020-09-16
84,US,North Dakota,47.45611548,-99.96407787,0.0,0.0,0.0,2020-09-16
85,US,North Dakota,48.36876964,-97.72574783,166.0,0.0,1.0,2020-09-16
86,US,North Dakota,48.22390169,-101.54367629999999,767.0,0.0,3.0,2020-09-16
87,US,North Dakota,47.58614526,-99.65904998,33.0,0.0,0.0,2020-09-16
88,US,North Dakota,48.34522353,-103.4793387,742.0,0.0,5.0,2020-09-16
89,US,North Dakota,47.74133370000001,-103.395905,154.0,0.0,2.0,2020-09-16
90,US,North Carolina,35.29373559,-81.17477045,4659.0,0.0,73.0,2020-09-16
91,US,North Dakota,46.11182017,-99.44145858,49.0,0.0,3.0,2020-09-16
92,US,North Dakota,46.45729487,-99.47719806,20.0,0.0,0.0,2020-09-16
93,US,North Carolina,36.2084135,-81.16232895,1130.0,0.0,31.0,2020-09-16
94,US,North Carolina,35.70625477,-77.917978,1993.0,0.0,44.0,2020-09-16
95,US,North Carolina,36.16222629,-80.66239436,694.0,0.0,7.0,2020-09-16
96,US,North Carolina,35.90079156,-82.31237181,116.0,0.0,0.0,2020-09-16
97,US,North Dakota,46.09686891,-102.5285397,14.0,0.0,0.0,2020-09-16
98,US,North Dakota,46.93579637,-98.06605978,197.0,0.0,0.0,2020-09-16
99,US,North Dakota,48.0683985,-99.35916363,270.0,0.0,5.0,2020-09-16
100,US,North Dakota,47.02366884,-103.3762965,6.0,0.0,0.0,2020-09-16
101,US,North Dakota,48.79106111,-100.8378166,38.0,0.0,0.0,2020-09-16
102,US,North Dakota,46.11285362,-103.5203343,26.0,0.0,0.0,2020-09-16
103,US,North Dakota,48.79094471,-102.51821170000001,26.0,0.0,1.0,2020-09-16
104,US,North Dakota,46.97847375,-100.46452140000001,2782.0,0.0,30.0,2020-09-16
105,US,North Dakota,46.93201724,-97.24447190000001,4407.0,0.0,77.0,2020-09-16
106,US,North Dakota,48.77286211,-98.46685243,45.0,0.0,0.0,2020-09-16
107,US,North Dakota,46.11017712,-98.50490079999999,37.0,0.0,0.0,2020-09-16
108,US,North Dakota,48.814938700000006,-103.48736109999999,6.0,0.0,0.0,2020-09-16
109,US,North Dakota,47.35423935,-102.61604679999999,65.0,0.0,1.0,2020-09-16
110,US,North Dakota,47.71701474,-98.90432337,59.0,0.0,3.0,2020-09-16
111,US,North Dakota,46.28398398,-100.2389766,63.0,0.0,1.0,2020-09-16
112,US,North Dakota,47.457108399999996,-98.88279923,51.0,0.0,0.0,2020-09-16
113,US,North Dakota,46.94022281,-103.8465421,41.0,0.0,0.0,2020-09-16
114,US,North Dakota,47.92093639,-97.45450447,1956.0,0.0,12.0,2020-09-16
115,US,North Dakota,46.35821257,-101.63900129999999,11.0,0.0,0.0,2020-09-16
116,US,North Dakota,47.45785838,-98.23850925,44.0,0.0,1.0,2020-09-16
117,US,North Dakota,46.43375068,-102.4632417,50.0,0.0,0.0,2020-09-16
118,US,North Dakota,46.97830064,-99.77507857,38.0,0.0,0.0,2020-09-16
119,US,North Dakota,46.45681054,-98.53542355,40.0,0.0,0.0,2020-09-16
120,US,North Dakota,48.23104458,-100.6324822,55.0,0.0,1.0,2020-09-16
121,US,North Carolina,36.081519,-78.28708884,1158.0,0.0,31.0,2020-09-16
122,US,North Carolina,36.12859861,-80.25459052,6694.0,0.0,94.0,2020-09-16
123,US,North Carolina,35.91230639,-77.59436892,1211.0,0.0,37.0,2020-09-16
124,US,New York,42.22769210000001,-79.36691763,527.0,0.0,9.0,2020-09-16
125,US,New York,42.13891056,-76.7638805,275.0,0.0,3.0,2020-09-16
126,US,New York,42.49430041,-75.60887553,245.0,0.0,7.0,2020-09-16
127,US,New York,44.74530905,-73.67875352,154.0,0.0,5.0,2020-09-16
128,US,New York,42.24819348,-73.63089095,577.0,0.0,37.0,2020-09-16
129,US,New York,42.59509207,-76.07048931,137.0,0.0,0.0,2020-09-16
130,US,New York,42.19837623,-74.96709306,129.0,0.0,4.0,2020-09-16
131,US,New York,41.76486060000001,-73.74356679,5014.0,0.0,153.0,2020-09-16
132,US,New York,42.76249024,-78.73063652,10752.0,0.0,681.0,2020-09-16
133,US,New York,44.11630765,-73.77297842,154.0,0.0,0.0,2020-09-16
134,US,New York,44.59040891,-74.29926032,63.0,0.0,0.0,2020-09-16
135,US,New York,43.11363907,-74.41798804,325.0,0.0,24.0,2020-09-16
136,US,New York,43.0022601,-78.19135193,307.0,0.0,5.0,2020-09-16
